,UR888,fb888,CF888,PF888,ag888,jd888,pp888,y888,rr888,sc888,a888,nr888,T888,FG888,al888,bu888,pg888,b888,lu888,TS888,PK888,CJ888,CY888,eb888,AP888,jm888,v888,SF888,cu888,eg888,hc888,j888,c888,l888,cs888,IF888,OI888,au888,m888,SM888,ZC888,RM888,p888,zn888,pb888,fu888,TA888,ss888,MA888,IH888,sp888,ru888,SA888,IC888,sn888,rb888,ni888,bc888,SR888,lh888,i888,TF888
2021-03-24 21:37:00,,,883.0,212.0,1109.0,,1431.0,3116.0,6.0,325.0,1252.0,24.0,,1738.0,496.0,793.0,452.0,256.0,149.0,,,,5.0,334.0,,171.0,905.0,,151.0,1146.0,1763.0,238.0,797.0,391.0,224.0,,1127.0,78.0,4867.0,,312.0,4512.0,3775.0,385.0,64.0,4201.0,1028.0,45.0,2333.0,,1792.0,709.0,620.0,,63.0,2070.0,832.0,19.0,224.0,,2379.0,
2021-03-24 21:38:00,,,517.0,285.0,2089.0,,1277.0,2266.0,1.0,263.0,634.0,32.0,,2108.0,448.0,842.0,142.0,566.0,143.0,,,,4.0,249.0,,325.0,482.0,,150.0,1040.0,2781.0,580.0,441.0,712.0,203.0,,1047.0,272.0,3536.0,,592.0,3265.0,2179.0,694.0,31.0,3037.0,1643.0,197.0,7040.0,,8350.0,544.0,850.0,,90.0,5715.0,1469.0,22.0,421.0,,972.0,
2021-03-24 21:39:00,,,157.0,185.0,990.0,,1146.0,2598.0,196.0,370.0,2276.0,48.0,,1022.0,357.0,351.0,1302.0,85.0,361.0,,,,4.0,207.0,,201.0,989.0,,147.0,961.0,2078.0,191.0,219.0,615.0,126.0,,795.0,134.0,2478.0,,323.0,4158.0,2067.0,359.0,46.0,4261.0,3970.0,113.0,2864.0,,1456.0,611.0,375.0,,70.0,2063.0,1256.0,35.0,248.0,,672.0,
2021-03-24 21:40:00,,,243.0,312.0,886.0,,897.0,2105.0,674.0,111.0,2011.0,26.0,,1156.0,239.0,318.0,410.0,274.0,166.0,,,,3.0,269.0,,249.0,668.0,,76.0,1045.0,2089.0,370.0,145.0,673.0,232.0,,1428.0,208.0,2771.0,,813.0,5901.0,2282.0,183.0,47.0,4088.0,1299.0,32.0,1538.0,,848.0,250.0,207.0,,48.0,2410.0,1099.0,12.0,284.0,,768.0,
2021-03-24 21:41:00,,,303.0,520.0,1925.0,,1102.0,3651.0,179.0,267.0,1236.0,29.0,,1807.0,406.0,542.0,227.0,134.0,70.0,,,,17.0,810.0,,266.0,245.0,,168.0,2079.0,1845.0,209.0,276.0,587.0,90.0,,1238.0,237.0,2359.0,,1047.0,2334.0,2447.0,318.0,54.0,3045.0,1464.0,23.0,3432.0,,2763.0,797.0,1181.0,,139.0,11564.0,858.0,7.0,193.0,,494.0,
2021-03-24 21:42:00,,,511.0,308.0,850.0,,900.0,2640.0,304.0,213.0,947.0,10.0,,2892.0,289.0,749.0,138.0,113.0,115.0,,,,2.0,413.0,,89.0,431.0,,176.0,1091.0,1528.0,132.0,258.0,1300.0,68.0,,1371.0,106.0,2559.0,,557.0,1820.0,2612.0,865.0,128.0,1588.0,1337.0,77.0,1906.0,,2033.0,372.0,1519.0,,92.0,1636.0,803.0,16.0,322.0,,412.0,
2021-03-24 21:43:00,,,61.0,148.0,1812.0,,1005.0,2088.0,95.0,236.0,424.0,5.0,,3067.0,217.0,1082.0,107.0,114.0,71.0,,,,0.0,369.0,,227.0,431.0,,73.0,703.0,1375.0,94.0,153.0,453.0,46.0,,1426.0,101.0,1500.0,,653.0,1852.0,2058.0,118.0,62.0,1672.0,1800.0,49.0,1219.0,,1095.0,43.0,875.0,,92.0,2101.0,474.0,8.0,200.0,,419.0,
2021-03-24 21:44:00,,,168.0,333.0,1259.0,,439.0,2313.0,41.0,177.0,398.0,14.0,,2641.0,522.0,839.0,1092.0,129.0,33.0,,,,0.0,222.0,,56.0,203.0,,145.0,671.0,2538.0,288.0,493.0,68.0,301.0,,863.0,222.0,3455.0,,537.0,2310.0,1775.0,224.0,29.0,1133.0,874.0,130.0,1477.0,,887.0,268.0,341.0,,103.0,2881.0,784.0,10.0,132.0,,385.0,
2021-03-24 21:45:00,,,354.0,320.0,3634.0,,1192.0,1676.0,173.0,603.0,1319.0,18.0,,1288.0,429.0,1539.0,249.0,93.0,201.0,,,,0.0,393.0,,175.0,1086.0,,330.0,963.0,2083.0,222.0,397.0,910.0,151.0,,762.0,312.0,2262.0,,596.0,4629.0,1642.0,581.0,67.0,4560.0,2227.0,14.0,4165.0,,2774.0,664.0,467.0,,80.0,1795.0,2391.0,56.0,429.0,,161.0,
2021-03-24 21:46:00,,,258.0,302.0,1992.0,,869.0,908.0,10.0,375.0,614.0,25.0,,317.0,239.0,891.0,163.0,185.0,162.0,,,,0.0,384.0,,127.0,479.0,,135.0,1186.0,2046.0,554.0,2404.0,1170.0,180.0,,759.0,372.0,2371.0,,2211.0,3355.0,867.0,273.0,16.0,3197.0,938.0,4.0,2592.0,,3859.0,189.0,709.0,,94.0,2374.0,1109.0,34.0,170.0,,210.0,
2021-03-24 21:47:00,,,618.0,219.0,1264.0,,612.0,1096.0,0.0,426.0,396.0,2.0,,628.0,206.0,174.0,149.0,135.0,143.0,,,,0.0,253.0,,135.0,393.0,,68.0,1100.0,1333.0,285.0,1165.0,812.0,233.0,,1001.0,241.0,1911.0,,1051.0,2701.0,854.0,352.0,78.0,1850.0,570.0,195.0,2644.0,,2767.0,116.0,416.0,,98.0,1357.0,1154.0,14.0,274.0,,206.0,
2021-03-24 21:48:00,,,124.0,280.0,1519.0,,1145.0,2084.0,4.0,278.0,809.0,14.0,,1521.0,209.0,1535.0,296.0,188.0,116.0,,,,1.0,201.0,,163.0,202.0,,111.0,877.0,5903.0,239.0,722.0,833.0,92.0,,1220.0,122.0,1956.0,,804.0,2893.0,3374.0,392.0,150.0,1232.0,634.0,84.0,888.0,,1463.0,185.0,458.0,,51.0,4910.0,997.0,16.0,488.0,,641.0,
