,UR888,fb888,CF888,PF888,ag888,jd888,pp888,y888,rr888,sc888,a888,nr888,T888,FG888,al888,bu888,pg888,b888,lu888,TS888,PK888,CJ888,CY888,eb888,AP888,jm888,v888,SF888,cu888,eg888,hc888,j888,c888,l888,cs888,IF888,OI888,au888,m888,SM888,ZC888,RM888,p888,zn888,pb888,fu888,TA888,ss888,MA888,IH888,sp888,ru888,SA888,IC888,sn888,rb888,ni888,bc888,SR888,lh888,i888,TF888
2021-03-24 21:32:00,,,11.0,25.0,28.0,,40.0,37.0,2.0,38.0,41.0,9.0,,3.0,20.0,1.0,45.0,37.0,19.0,,,,5.0,65.0,,0.0,9.0,,36.0,49.0,39.0,15.0,8.0,1.0,13.0,,82.0,49.0,23.0,,7.0,25.0,26.0,18.0,14.0,10.0,22.0,8.0,10.0,,11.0,6.0,6.0,,71.0,28.0,66.0,44.0,12.0,,12.0,
2021-03-24 21:33:00,,,8.0,18.0,17.0,,68.0,43.0,3.0,39.0,40.0,13.0,,10.0,16.0,7.0,37.0,40.0,21.0,,,,1.0,48.0,,4.0,10.0,,32.0,56.0,39.0,16.0,7.0,5.0,6.0,,73.0,34.0,23.0,,13.0,19.0,41.0,27.0,11.0,5.0,17.0,5.0,7.0,,5.0,15.0,10.0,,43.0,26.0,63.0,58.0,13.0,,14.0,
2021-03-24 21:34:00,,,11.0,8.0,13.0,,40.0,33.0,1.0,27.0,68.0,3.0,,4.0,7.0,6.0,20.0,30.0,15.0,,,,1.0,56.0,,12.0,13.0,,9.0,63.0,48.0,14.0,2.0,3.0,3.0,,62.0,47.0,17.0,,7.0,11.0,32.0,12.0,5.0,8.0,9.0,12.0,4.0,,10.0,10.0,5.0,,42.0,21.0,57.0,42.0,12.0,,13.0,
2021-03-24 21:35:00,,,1.0,18.0,15.0,,61.0,24.0,0.0,46.0,83.0,8.0,,5.0,21.0,4.0,16.0,27.0,15.0,,,,1.0,44.0,,8.0,5.0,,27.0,51.0,35.0,27.0,0.0,2.0,4.0,,66.0,38.0,24.0,,6.0,15.0,32.0,14.0,7.0,4.0,8.0,5.0,3.0,,14.0,5.0,17.0,,66.0,25.0,71.0,36.0,6.0,,18.0,
2021-03-24 21:36:00,,,5.0,25.0,16.0,,40.0,27.0,0.0,26.0,55.0,2.0,,13.0,10.0,4.0,42.0,26.0,11.0,,,,7.0,39.0,,9.0,4.0,,14.0,39.0,16.0,19.0,1.0,1.0,5.0,,47.0,47.0,20.0,,4.0,7.0,17.0,14.0,4.0,3.0,5.0,8.0,1.0,,22.0,2.0,8.0,,52.0,16.0,30.0,23.0,4.0,,21.0,
2021-03-24 21:37:00,,,5.0,14.0,13.0,,61.0,43.0,0.0,34.0,47.0,8.0,,12.0,8.0,5.0,45.0,33.0,15.0,,,,7.0,46.0,,12.0,2.0,,18.0,44.0,25.0,6.0,6.0,1.0,5.0,,69.0,36.0,17.0,,3.0,15.0,36.0,11.0,8.0,12.0,4.0,0.0,6.0,,19.0,6.0,2.0,,42.0,16.0,24.0,35.0,3.0,,18.0,
2021-03-24 21:38:00,,,7.0,21.0,19.0,,48.0,33.0,0.0,28.0,46.0,16.0,,10.0,9.0,7.0,40.0,30.0,16.0,,,,10.0,38.0,,18.0,1.0,,17.0,31.0,33.0,23.0,3.0,6.0,10.0,,72.0,62.0,22.0,,9.0,11.0,26.0,18.0,2.0,6.0,11.0,8.0,8.0,,32.0,8.0,7.0,,56.0,26.0,53.0,27.0,16.0,,10.0,
2021-03-24 21:39:00,,,1.0,22.0,14.0,,40.0,32.0,5.0,23.0,52.0,16.0,,1.0,14.0,0.0,67.0,23.0,40.0,,,,2.0,33.0,,7.0,9.0,,21.0,42.0,21.0,5.0,1.0,5.0,4.0,,67.0,35.0,22.0,,2.0,13.0,32.0,10.0,0.0,10.0,17.0,3.0,12.0,,17.0,8.0,3.0,,40.0,19.0,45.0,48.0,7.0,,13.0,
2021-03-24 21:40:00,,,1.0,13.0,10.0,,56.0,27.0,8.0,12.0,32.0,5.0,,2.0,7.0,0.0,41.0,28.0,16.0,,,,1.0,27.0,,1.0,10.0,,10.0,29.0,12.0,16.0,0.0,8.0,3.0,,70.0,57.0,26.0,,3.0,20.0,38.0,8.0,2.0,7.0,11.0,1.0,0.0,,6.0,3.0,1.0,,30.0,10.0,40.0,26.0,6.0,,13.0,
2021-03-24 21:41:00,,,4.0,21.0,31.0,,59.0,38.0,2.0,31.0,45.0,31.0,,3.0,3.0,1.0,24.0,35.0,14.0,,,,7.0,52.0,,3.0,0.0,,22.0,52.0,36.0,27.0,0.0,4.0,0.0,,76.0,71.0,34.0,,8.0,8.0,29.0,11.0,2.0,4.0,5.0,0.0,6.0,,19.0,8.0,4.0,,36.0,25.0,37.0,23.0,5.0,,9.0,
